,package,description,category
787,,"['hsbc', 'entertainer', 'mobile', 'brings', 'hsbc', 'credit', 'cardholder', 'unbeatable', 'value', 'buy', 'voucher', 'across', 'country', 'covering', 'dining', 'spa', 'treatment', 'travel', 'entertainment', 'offer', 'discover', 'restaurant', 'soothe', 'sens', 'best', 'spa', 'town', 'treat', 'kid', 'fun', 'activity', 'holiday', 'often', 'le', 'hsbc', 'entertainer', 'mobile', 'hsbc', 'entertainer', 'mobile', 'must', 'customer', 'hsbc', 'bank', 'middle', 'east', 'limited', 'hsbc', 'entertainer', 'mobile', 'browse', 'buy', 'offer', 'selected', 'location', 'simply', 'find', 'offer', 'merchant', 'location', 'category', 'map', 'easily', 'find', 'offer', 'near', 'redeem', 'offer', 'straight', 'phone', 'view', 'much', 'saving', 'hsbc', 'entertainer', 'mobile', 'share', 'saving', 'family', 'friend', 'via', 'social', 'medium', 'location', 'currently', 'covered', 'abu', 'dhabi', 'bahrain', 'cape', 'town', 'cyprus', 'dubai', 'egypt', 'hong', 'kong', 'jeddah', 'johannesburg', 'jordan', 'kuwait', 'lebanon', 'london', 'malaysia', 'oman', 'qatar', 'riyadh', 'singapore', 'plus', 'best', 'hotel', 'world', 'hsbc', 'entertainer', 'affiliated', 'microsoft', 'inc']",Food & dining
789,,"['give', 'detailed', 'preparation', 'delicious', 'cooky', 'desert', 'attractive', 'picture', 'cooky', 'desert', 'easily', 'made', 'short', 'time', 'ingredient', 'available', 'home', 'served', 'party', 'liked', 'child', 'adult', 'well']",Food & dining
963,,"['lot', 'happen', 'coffee', 'application', 'boon', 'coffee', 'lover', 'would', 'love', 'take', 'coffee', 'break', 'work', 'includes', 'coffee', 'recipe', 'based', 'variety', '.coffee', 'type', 'differ', 'flavor', 'beverage', 'also', 'everyone', 'favorite', 'latte', 'art', 'discussed', 'includes', 'different', 'technique', 'latte', 'done', 'sample', 'display', 'heart', 'latte', 'flower', 'latte']",Food & dining
1017,,"['cellartracker', 'world', 'largest', 'collection', 'wine', 'review', 'tasting', 'note', 'personal', 'story', 'people', 'love', 'wine', 'available', 'window', 'phone', 'read', 'write', 'wine', 'review', 'find', 'million', 'wine', 'read', 'million', 'tasting', 'note', 'community', 'professional', 'great', 'recommendation', 'join', 'community', 'user', 'share', 'opinion', 'fully', 'integrated', 'professional', 'review', 'antonio', 'galloni', 'stephen', 'tanzer', 'allen', 'meadow', 'jancis', 'robinson', 'separate', 'subscription', 'may', 'required', 'manage', 'collection', 'online', 'cellar', 'management', 'tool', 'track', 'collection', 'see', 'value', 'much', 'user', 'currently', 'managing', 'million', 'bottle', 'counting', 'label', 'recognition', 'search', 'wine', 'taking', 'photo', 'label', 'quickly', 'capture', 'photo', 'note', 'multiple', 'wine', 'later', 'reference', 'access', 'entire', 'history', 'captured', 'label', 'remember', ""'ve"", 'drinking', 'scan', 'barcodes', 'easily', 'scan', 'upc/ean', 'barcodes', 'wine', 'well', 'custom', 'cellartracker', 'barcodes', 'make', 'cellar', 'management', 'breeze', 'track', 'consumption', 'history', 'cellartracker', 'allows', 'track', ""'ve"", 'drinking', 'cellar', 'restaurant', 'winery', 'anywhere', 'add', 'tasting', 'note', 'rating', 'label', 'image', 'requires', 'internet', 'connectivity', 'operate', 'certain', 'functionality', 'managing', 'cellar', 'tracking', 'consumption', 'history', 'require', 'cellartracker', 'account', 'optional', 'paid', 'cellartracker', 'account', 'provide', 'access', 'additional', 'functionality', 'including', 'automatic', 'valuation', 'professional', 'review', 'require', 'separate', 'subscription', 'publication', 'enable', 'integration']",Food & dining
1023,,"['fine', 'cooking', 'best', 'magazine', 'anyone', 'interested', 'cooking', 'whether', 'starting', 'ready', 'tackle', 'advanced', 'dish', 'find', 'recipe', 'make', 'inspirational', 'idea', 'test', 'kitchen', 'tip', 'mouth-watering', 'photograph', 'everything', 'make', 'time', 'kitchen', 'focused', 'food', 'whether', 'feature', 'chef', 'signature', 'dish', 'vineyard', 'food', 'center', 'every', 'article', 'bring', 'inspiring', 'practical', 'side', 'cooking', 'appeal', 'skill', 'level', 'every', 'issue', 'includes', 'article', 'instruct', 'challenge', 'beginner', 'well', 'truly', 'adventurous', 'cook', 'everyone', 'recipe', 'triple-tested', 'list', 'ingredient', 'direction', 'recipe', 'tested', 'adjusted', 'kitchen', 'sure', 'result']",Food & dining
1063,,"['fitness', 'schedule', 'cook', 'family', 'every', 'week', 'know', 'important', 'keep', 'track', 'eating', 'well', 'better', 'way', 'noprob', 'meal', 'planner', 'noprob', 'meal', 'planner', 'simple', 'application', 'allows', 'plan', 'breakfast', 'lunch', 'dinner', 'every', 'day', 'month', 'quick', 'organized', 'manner']",Food & dining
1100,,"['excellent', 'book', 'give', 'feel', 'cookery', 'book', 'refer', 'multiple', 'source', 'recipe', 'collection', 'consolidate', 'recipe', 'book', 'search', 'freely', 'instantly', 'access', 'recipe', 'collection', 'second', 'add', 'recipe', 'picture', 'categorize', 'tag', 'rate', 'add', 'keywords', 'stop', 'share', 'recipe', 'friend', 'relative', 'give', 'good', 'collection', 'recipe', 'part', 'selected', 'even', 'full', 'dear', 'one', 'number', 'time', 'update', 'import', 'export', 'feature', 'make', 'easy', 'share', 'freely', 'across', 'anybody', 'book', 'created', 'dr.', 'manthena', 'satyanarayana', 'raju', 'exquisite', 'collection', 'healthy', 'recipe', 'taste', 'compromise', 'health', 'రోగాలు', 'రాని', 'రుచులు', 'included', 'complementary', 'virtual', 'book', 'health', 'conscious', 'live', 'longer', 'healthy', 'active', 'recipe', 'recipe', 'teach', 'cook', 'salt', 'sugar', 'oil', 'masala', 'please', 'forget', 'refer', 'healthy', 'cooking', 'tip', 'included', 'complementary', 'book', 'dr.', 'manthena', 'satyanaryana', 'raju', 'simple', 'life', 'dedication', 'preaching', 'good', 'life', 'style', 'diet', 'way', 'naturopathy', 'book', 'rogalu', 'rani', 'ruchulu', 'taste', 'compromise', 'health', 'included', 'cookery', 'book', 'virtual', 'book', 'cookery', 'book', 'huge', 'collection', 'convenient', 'flip', 'logically', 'break', 'multiple', 'virtual', 'book', 'example', 'favourite', 'spicy', 'recipe', 'dr.', 'raju', 'collection', '5-starred', 'recipe', 'exactly', 'wherever', 'search', 'result', 'save', 'result', 'virtual', 'book', 'saved', 'query', 'planning', 'section', 'powerful', 'recipe', 'planner', 'allows', 'add', 'exactly', 'recipe', 'would', 'cook', 'special', 'day', 'cooking', 'tip', 'add', 'cooking', 'tip', 'collected', 'different', 'source', 'including', 'internet', 'tv', 'friend', 'relative', 'know', 'attempt', 'publish', 'interesting', 'article', 'dr.', 'manthena', 'satyanaryana', 'raju', 'must', 'read', 'even', 'feel', 'difficult', 'follow', 'followed', 'change', 'way', 'live', 'hence-forth', 'multiple', 'device', 'using', 'window', 'sky', 'drive', 'sync', 'sync', 'local', 'recipe', 'folder', 'sky', 'drive', 'cloud', 'multiple', 'device', 'allows', 'access', 'cookery', 'book', 'date', 'device', 'window', 'onwards', 'even', 'option', 'save', 'cookery', 'book', 'directly', 'sky', 'drive', 'share', 'recipe', 'share', 'recipe', 'anybody', 'share', 'entire', 'virtual', 'book', 'recipe', 'result', 'even', 'single', 'recipe', 'simply', 'export', 'recipe', 'folder', 'computer', 'zip', 'folder', 'content', 'anybody', 'let', 'unzip', 'computer', 'folder', 'please', 'ask', 'import', 'folder', 'within', 'cookery', 'book', 'never', 'overwrites', 'recipe', 'computer', 'even', 'recipe', 'name', 'multiple', 'import', 'overwrite', 'recipe', 'source', 'please', 'feel', 'developer', 'suggestion', 'improve', 'report', 'bug']",Food & dining
1197,,"['consists', 'making', 'various', 'tasty', 'smoothy', 'consists', 'healthy', 'mix', 'prepared', 'daily', 'basis']",Food & dining
1682,,"['planning', 'next', 'super', 'bowl', 'bash', 'bos', 'put', 'charge', 'catering', 'next', 'company', 'meeting', 'got', 'angry', 'hungry', 'mob', 'staring', 'right', 'party', 'food', 'got', 'back', 'enter', 'number', 'attendee', 'party', 'food', 'tell', 'order', 'much', 'going', 'cost', 'quickly', 'change', 'common', 'setting', 'right', 'home', 'screen', 'number', 'drink', 'per', 'person', 'percentage', 'party', 'vegetarian', 'setting', 'charm', 'change', 'advanced', 'setting', 'cost', 'per', 'pizza', 'tax', 'rate', 'area', 'finally', 'snapped', 'view', 'live', 'tile', 'remember', 'detail', 'even', 'switch', 'another', 'remember', 'exactly', 'order', 'party', 'food', 'entirely', 'even', 'show', 'ad', 'install', 'party', 'food', 'feed', 'mob', 'hero']",Food & dining
2066,,"['show', 'news', 'information', 'whisky', 'whiskey', 'bourbon', 'great', 'number', 'source', 'ca', 'find', 'news']",Food & dining
