,package,description,category
1365,,"['oremos', 'family', 'prayer', 'sharing', 'allows', 'pray', 'loved', 'one', 'away', 'listening', 'pre-recorded', 'voice', 'download', 'trial', 'version', 'record', 'catholic', 'prayer', 'send', 'loved', 'one']",Kids & family
1388,,"['baby', 'first', 'toy', 'stimulate', 'develop', 'baby', 'brain', 'variety', 'well-known', 'child', 'song', 'colorful', 'image', 'designed', 'parent', 'parent', 'built', 'simple', 'long', 'toddler', 'keep', 'screen', 'pressed', 'entertaining', 'music', 'colorful', 'image', 'development', 'application', 'based', 'research', 'field', 'test', 'delivering', 'best', 'result', 'well', 'known', 'music', 'track', 'specially', 'selected', 'image', 'minute', 'unique', 'engagement', 'toddler', 'never', 'bored', 'stimulates', 'toddler', 'brain', 'allows', 'toddler', 'experience', 'control', 'improves', 'toddler', 'self', 'awareness', 'give', 'toddler', 'sense', 'rhythm', 'must-have', 'pocket', 'application', 'time', 'desperately', 'calm', 'baby', 'keep', 'busy', 'babysitter', 'instantly', 'relaxes', 'baby', 'letting', 'experience', 'sense', 'control', 'unlike', 'toy']",Kids & family
1389,,"['babylearn', 'game-encyclopaedia', 'baby', 'baby', 'start', 'recognize', 'surrounding', 'world', 'fish', 'fruit', 'bird', 'animal', 'color', 'digit', 'others', 'baby', 'learn', 'call', 'thing', 'around', 'u', 'contains', 'several', 'category', 'picture', 'picture', 'changed', 'simple', 'finger', 'movement', 'babylearn', 'draw', 'baby', 'attention', 'car', 'driving', 'case', 'baby', 'want', 'cry', 'language', 'english', 'russian', 'contains', 'picture', 'author', 'photo']",Kids & family
1428,,"['tell', 'mother', 'much', 'appreciate', 'mother', 'day', 'wish', 'send', 'special', 'note']",Kids & family
1548,,"['watch', 'little', 'rockstar', 'amazing', 'drum', 'set', 'sing-along', 'nursery', 'rhyme', 'smooth', 'animation', 'background', 'music', 'clear', 'sound', 'definitely', 'make', 'kid', 'favorite', 'time', 'include', 'bright', 'color', 'keep', 'little', 'amused', 'nice', 'smooth', 'animation', 'entertain', 'baby', 'hour', 'popular', 'nursery', 'rhyme', 'pre-loaded', 'background', 'loop', 'music', 'universal', 'compatible', 'device', 'either', 'unleash', 'toddler', 'natural', 'musical', 'talent', 'give', 'kid', 'something', 'entertain', 'baby', 'drum', 'little', 'great', 'musical', 'fun', 'stay', 'tuned', 'please', 'let', 'u', 'know', 'suggestion', 'improvement', 'miss', 'little', 'give', 'try']",Kids & family
1549,,"['baby', 'train', 'super', 'fun', 'child', 'simulating', 'little', 'train', 'driver', 'awesome', 'colorful', 'animation', 'make', 'super', 'cool', 'little', 'around', 'loaded', 'lot', 'nursery', 'rhyme', 'played', 'train', 'dashboard', 'fun', 'activity', 'kid', 'love', 'includes', 'driver', 'seat', 'cool', 'baby', 'train', 'start', 'stop', 'train', 'make', 'horn', 'sound', 'amused', 'nursery', 'rhyme', 'train', 'dashboard', 'tap', 'cloud', 'may', 'make', 'disappear', 'much', 'give', 'try', 'wo', 'regret', 'stay', 'tuned', 'please', 'let', 'u', 'know', 'suggestion', 'improvement']",Kids & family
1551,,"['baby', 'piano', 'cool', 'musical', 'toddler', 'baby', 'song', 'rhyme', 'either', 'unleash', 'toddler', 'natural', 'musical', 'talent', 'give', 'kid', 'something', 'entertain', 'baby', 'piano', 'achieving', 'baby', 'piano', 'best', 'piano', 'little', 'featuring', 'colourful', 'button', 'smooth', 'animation', 'singalong', 'nursery', 'rhyme', 'kid', 'enjoy', 'tapping', 'bright', 'colourful', 'piano', 'button', 'listening', 'carefully', 'selected', 'popular', 'nursery', 'rhyme', 'parent', 'sit', 'back', 'watch', 'enjoy', 'toddler', 'getting', 'amused', 'unique', 'include', 'multi-touch', 'piano', 'add', 'fun', 'little', 'amusement', 'hidden', 'animation', 'triggered', 'kid', 'tap', 'background', 'engages', 'toddler', 'long', 'time', 'popular', 'nursery', 'rhyme', 'pre-loaded', 'dont', 'rhyme', 'tap', 'bell', 'icon', 'change', 'loop', 'music', 'mode', 'universal', 'compatible', 'device', 'baby', 'piano', 'little', 'great', 'musical', 'fun', 'little', 'offer', 'hour', 'fun', 'learning', 'love', 'enjoy', 'music', 'stay', 'tuned', 'please', 'let', 'u', 'know', 'suggestion', 'improvement', 'definitely', 'miss', 'little', 'music', 'delight', 'give', 'try']",Kids & family
1555,,"['baby', 'car', 'fun', 'baby', 'driving', 'lot', 'activity', 'musical', 'treat', 'little', 'ever', 'watched', 'little', 'curious', 'whilst', 'drive', 'well', 'put', 'little', 'driving', 'seat', 'using', 'baby', 'car', 'lot', 'pre-bundled', 'child', 'song', 'sound', 'effect', 'simple', 'animation', 'make', 'pleasant', 'activity', 'include', 'child', 'song', 'car', 'music', 'player', 'press', 'steering', 'wheel', 'animate', 'awesome', 'sound', 'effect', 'left', 'right', 'indicator', 'light', 'child', 'item', 'dashboard', 'let', 'little', 'mind', 'explore', 'forget', 'tap', 'mirror', 'learn', 'animal', 'coming', 'behind', 'much', 'give', 'try', 'wo', 'regret', 'stay', 'tuned', 'please', 'let', 'u', 'know', 'suggestion', 'improvement']",Kids & family
1591,,"['sleep', 'baby', 'sleep', 'sweet', 'dream', 'sound', 'music', 'result', 'healthy', 'sweet', 'dream', 'baby', 'put', 'infant', 'child', 'sleep', 'quickly', 'calmly', 'installation', 'smartphone', 'able', 'several', 'monotonous', 'sound', 'baby', 'fall', 'asleep', 'quickly', 'sound', 'water', 'wind', 'beating', 'heart', 'car', 'engine', 'hair', 'dryer', 'tv', 'others', 'important', 'add', 'comment/rate', 'please', 'read', 'advice', 'click', 'scroll', 'function', 'allows', 'adjust', 'volume', 'level', 'played', 'sound', 'also', 'several', 'different', 'sound', 'simultaneously', 'also', 'record', 'sound', 'voice', 'simultaneously', 'default', 'application', 'sound', 'sound', 'played', 'particular', 'time', 'set', 'user', 'also', 'useful', 'feature', 'muting', 'phone', 'ringer', 'application', 'switched', 'ringer', 'wake', 'child', 'sound', 'idea', 'planning', 'develop', 'application', 'increasing', 'functionality', 'adding', 'sound', 'lullaby', 'idea', 'sound', 'lullaby', 'child', 'fall', 'asleep', 'please', 'send', 'u', 'via', 'write', 'comment', 'develop', 'accordingly', 'serf', 'well', 'report', 'bug', 'case', 'work', 'correctly', 'give', 'u', 'low', 'rating', 'please', 'fill', 'short', 'survey', '//apps.examobile.com/sleepsheep/', 'report', 'bug', 'would', 'wish', 'pleasant', 'time', 'using', 'also', 'invite', 'visit', 'www.examobile.com']",Kids & family
1688,,"['feature', 'list', '.support', 'multiple', 'baby', '.support', 'user', 'defined', 'baby', 'icon', '.track', 'baby', 'mood', 'feed', 'sleep', 'pee/poo', 'health', 'bath', 'vaccination', 'medicine', '.track', 'baby', 'growth', 'weight', 'height', 'head', 'circumference', '.track', 'pumping', 'milk', '.diary', 'book', 'statistical', 'chart', '.feeding/diaper/sleep/wake/breast', 'feeding', 'time/breast', 'feeding', 'count/pumping', 'milk', 'chart', 'percentile', 'chart', '.height/weight/head', 'circumference', 'note', 'baby', 'growth', 'data', 'based', 'cdc', 'guideline']",Kids & family
1724,,"[""let'scolorit"", ""let'scolorit"", 'fun', 'coloring', 'activity', 'age', 'variety', 'bright', 'color', 'show', 'creativity', 'keep', 'child', 'busy', 'positive', 'activity', 'fit', 'right', 'palm', 'hand', 'wo', 'worry', 'cry', 'crayon', 'book', 'dropped', 'reach', 'touch', 'sensitive', 'screen', 'easy', 'pick', 'kid', 'adult', 'whole', 'family', 'sure', 'enjoy', 'picture', 'color', 'seven', 'different', 'category', 'select', 'image', 'color', 'animal', 'event', 'doll', 'transport', 'etc', 'different', 'bright', 'color', 'select', 'child', 'develop', 'hand-eye', 'coordination', 'save', 'picture', 'photo', 'library', 'easy', 'sharing', 'wallpaper', 'share', 'friend', 'family', 'facebook', 'share', 'friend', 'family', 'twitter', 'share', 'friend', 'family', 'mail']",Kids & family
