,package,description,category
1298,,"['touch', 'access', 'window', 'phone', 'wi-fi', 'setting']",Navigation & maps
1483,,"['application', 'developed', 'esrishichina', 'shanghai', 'china', 'using', 'lastest', 'release', 'arcgis', 'runtime100.1', 'uwp', '3d', 'view', 'display', 'approximately', 'satelites', 'low', 'earth', 'orbit', 'medium', 'earth', 'orbit', 'green', 'dot', 'geosynchronous', 'orbit', 'red', 'dot', 'satellite', 'description', 'ephemeris', 'sourced', 'space-tracker', 'maintained', 'joint', 'functional', 'component', 'command', 'space', 'application', 'see', '3d', 'map', 'world', 'including', 'satellite', 'orbit', 'related', 'information', 'roam', 'see', 'cool', 'map', 'animation', 'developed', 'updated']",Navigation & maps
1807,,"['program', 'allows', 'find', 'cardinal', 'direction', 'north', 'south', 'west', 'east', 'sun', 'higher', 'precision', 'usual', 'magnetic', 'compass', 'simply', 'direct', 'phone', 'yellow', 'arrow', 'point', 'direction', 'sun', 'along', 'shadow', 'vertical', 'object', 'best', 'accuracy', 'see', 'cardinal', 'direction', 'screen', 'comparison', 'also', 'arrow', 'magnetic', 'compass', 'supported', 'phone', 'trial', 'version', 'gps', 'coordinate', 'update', 'magnetic', 'compass', 'солнечный', 'компас', 'программа', 'позволяет', 'определять', 'стороны', 'света', 'север', 'юг', 'запад', 'восток', 'по', 'солнцу', 'с', 'более', 'высокой', 'точностью', 'чем', 'с', 'помощью', 'обычного', 'магнитного', 'компаса', 'просто', 'направьте', 'телефон', 'так', 'чтобы', 'желтая', 'стрелка', 'указывала', 'в', 'направлении', 'солнца', 'или', 'вдоль', 'тени', 'от', 'любого', 'вертикального', 'предмета', 'для', 'лучшей', 'точности', 'и', 'увидите', 'на', 'экране', 'направления', 'на', 'стороны', 'света', 'для', 'сравнения', 'есть', 'также', 'стрелка', 'магнитного', 'компаса', 'если', 'поддерживается', 'телефоном', 'в', 'пробной', 'версии', 'не', 'работает', 'обновление', 'координат', 'gps', 'и', 'нет', 'поддержки', 'магнитного', 'компаса']",Navigation & maps
2207,,"['application', 'based', 'arcgis', 'runtime', 'sdk', '.net', 'provide', 'rich', 'map', 'resource', 'including', '2d', '3d', 'provide', 'cool', 'map', 'navigation', 'control', 'map', 'animation', 'application', 'browse', 'global', '2d', '3d', 'map', 'resource', 'application', 'provide', 'time', 'keep', 'updating']",Navigation & maps
2343,,"['unofficial', 'mmda', 'traffic', 'navigator', 'window', 'latest', 'traffic', 'status', 'top', 'main', 'road', 'metro', 'manila', 'edsa', 'c5', 'espana', 'commonwealth', 'quezon', 'ave', 'roxas', 'blvd', 'slex', 'nlex']",Navigation & maps
2493,,"['application', 'control', 'consumption', 'vehicle', 'know', 'gas', 'station', 'pay', 'come', 'cheaper', 'even', 'support', 'comparison', 'latest', 'gas', 'station', 'try', 'enjoy', 'course', 'thank', 'feedback', 'note', 'version', 'added', 'language', 'english', 'french', 'language', 'added', 'note', 'version', 'changing', 'unit', 'renewal', 'aid', 'renewal', 'aesthetic', 'note', 'version', 'correction', 'unexpected', 'closure', 'update', 'note', 'version', 'button', 'added', 'remember', 'data', 'without', 'processing', 'improved', 'first', 'visit', 'allowing', 'go', 'directly', 'minor', 'bugfixes']",Navigation & maps
2500,,"['transit', 'chicago', 'premiere', 'transit', 'metra', 'cta', 'train', 'cta', 'bus', 'nictd', 'south', 'shore', 'line', 'featuring', 'full', 'offline', 'transit', 'schedule', 'metra', 'nictd', 'south', 'shore', 'line', 'real-time', 'cta', 'bus/train', 'arrival', 'know', 'next', 'bus/train', 'coming', 'real-time', 'alerts/bulletins', 'tell', 'happening', 'favorite', 'route', 'pin', 'routes/stops/search', 'quick', 'access', 'pin', 'design', 'agency', 'live', 'tile', 'create', 'panorama', 'city', 'home', 'screen', 'route', 'show', 'stop', 'direction', 'destination', 'know', 'exactly', 'train/bus', 'go', 'order', 'stop', 'route', 'easily', 'find', 'nearest', 'route', 'advanced', 'search', 'find', 'particular', 'stop', 'online', 'route', 'map', 'gps', 'tell', 'exactly', 'route', 'lost', 'miss', 'getting', 'stop', 'offline', 'system', 'map', 'internet', 'access', 'subway', 'taxi', 'airport', 'information', 'plus', 'much', 'limited', 'trial', 'never', 'expires', 'full', 'functionality', 'first', 'day', 'thereafter', 'continue', 'operate', 'advanced', 'disabled', 'visiting', 'temporarily', 'great', 'resource', '-route', 'data', 'schedule', 'updated', '-now', 'includes', 'south', 'shore', 'line', 'nictd', 'northern', 'indiana', 'commuter', 'transit', 'district', '-bug', 'fix', 'additional', 'performance', 'tuning', '-advanced', 'search', 'finding', 'stop', 'name', 'partial', 'name', '-more', 'customization', 'option', 'setting', 'ability', 'turn', 'increase', 'performance', '-bug', 'fix', '-now', 'includes', 'pace', 'suburban', 'bus', 'service', '-bug', 'fix', '-metra', '-performance', 'tuned', '-bug', 'fix']",Navigation & maps
2651,,"['included', 'switch', 'car', 'speedometer', 'bike', 'cyclometer', 'switch', 'mph', 'km/h', 'mode', 'imperial', 'metric', 'unit', 'setting', 'speed', 'calibrate', 'refresh', 'button', 'gps', 'accuracy', 'indicator', 'gps', 'distance', 'accuracy', 'indicator', 'track', 'information', 'start', 'time', 'time', 'elapsed', 'distance', 'average', 'speed', 'max', 'speed', 'altitude', 'tracking', 'speed', 'tracking', 'mph', 'km/h', 'based', 'mph', 'km/h', 'mode', 'distance', 'tracking', 'mile', 'kilometer', 'based', 'mph', 'km/h', 'mode', 'time', 'tracking', 'tracking', 'location', 'map', 'ability', 'turn', 'tracking', 'off/on', 'longitude', 'latitude', 'coordinate', 'map', 'integration', 'satellite', 'map', 'mode', 'hybrid', 'map', 'mode', 'standard', 'map', 'mode', 'tracking', 'location', 'change', 'trajectory', 'compass', 'location', 'coordinate', 'longitude', 'latitude', 'course', 'share', 'start', 'end', 'point', 'coordinate', 'link', 'sending', 'map', 'screenshot', 'sending']",Navigation & maps
2702,,"['developed', 'unique', 'computer', 'system', 'mosquelocator', 'developed', 'unique', 'computer', 'system', 'help', 'find', 'nearest', 'mosque', 'location', 'checking', 'prayer', 'time', 'per', 'location', 'calculation', 'method', 'follow', 'application', 'also', 'provides', 'social', 'feed', 'regarding', 'mosque', 'beautiful', 'image', 'mosque', 'includes', 'show', 'prayer', 'timing', 'per', 'standard', 'calculation', 'give', 'ability', 'show', 'prayer', 'timing', 'next', 'previous', 'day', 'user', 'defined', 'date', 'application', 'user', 'check', 'prayer', 'timing', 'different', 'cities/countries', 'different', 'calculation', 'method', 'prayer', 'timing', 'application', 'help', 'find', 'nearby', 'mosque', 'location', 'using', 'mobile', 'gps', 'provides', 'detail', 'mosque', 'also', 'application', 'help', 'direction', 'selected', 'mosque', 'map', 'assist', 'navigation', 'mosque', 'application', 'display', 'latest', 'tweet', 'related', 'mosque', 'also', 'show', 'image', 'mosque', 'google', 'api', 'search', 'application', 'make', 'phone', 'location', 'service', 'data', 'service', 'privacy', 'policy', 'application', 'collect', 'location', 'information', 'calculating', 'prayer', 'timing', 'per', 'user', 'location', 'also', 'location', 'information', 'used', 'find', 'nearby', 'mosque', 'please', 'note', 'user', 'location', 'information', 'stored', 'application', 'moreover', 'application', 'share', 'user', 'location', 'information', 'application', 'us', 'bing', 'maps/web', 'search', 'provided', 'microsoft', 'window', 'phone', 'may', 'access', 'location', 'information', 'microsoft', 'may/may', 'location', 'please', 'check', 'link', 'view', 'microsoft', 'location', 'service', 'privacy', 'policy', 'link', '//www.microsoft.com/windowsphone/en-us/howto/wp7/web/location-and-my-pr', 'ivacy.aspx']",Navigation & maps
2759,,"['easy', 'gps-tracker', 'record', 'gps-routes', 'watch', 'evaluate', 'later', 'perfect', 'jogging', 'walking', 'riding', 'bike', 'etc', 'recording', 'see', 'duration', 'distance', 'speed', 'map', 'route', 'set', 'waypoints', 'mark', 'special', 'point', 'route', 'detailed', 'view', 'also', 'see', 'start', 'end', 'time', ""'tap"", 'hold', 'delete', 'rename', 'route', 'waypoints', 'export', 'function', 'upload', 'route', 'skydrive', 'gpx-files', 'save', 'window', 'phone', 'background', 'tracking', 'supported', 'live', 'tile', 'background', 'tracking', '3d', 'map', 'version', 'buy', 'full', 'version', 'disable', 'ad', 'recommended', 'turn', 'setting', ""'run"", 'lockscreen', 'else', 'recording', 'stopped', 'lockscreen', 'becomes', 'active', 'recording', 'enable', 'gps-sensor']",Navigation & maps
